x, y, z
-0.757936, -0.637147, -0.139919
-0.132792, -0.695305, -0.70634
-0.132792, -0.695305, -0.70634
-0.132792, -0.695305, -0.70634
-0.132792, -0.695305, -0.70634
-0.132792, -0.695305, -0.70634
-0.132792, -0.695305, -0.70634
-0.131655, -0.790663, -0.597928
-0.131655, -0.790663, -0.597928
-0.131655, -0.790663, -0.597928
-0.131655, -0.790663, -0.597928
-0.131655, -0.790663, -0.597928
-0.131655, -0.790663, -0.597928
-0.133071, -0.589218, -0.79694
-0.133071, -0.589218, -0.79694
-0.133071, -0.589218, -0.79694
-0.133071, -0.589218, -0.79694
-0.133071, -0.589218, -0.79694
-0.133071, -0.589218, -0.79694
-0.262866, -0.361803, -0.894427
-0.262866, -0.361803, -0.894427
-0.262866, -0.361803, -0.894427
-0.262866, -0.361803, -0.894427
-0.262866, -0.361803, -0.894427
-0.262866, -0.361803, -0.894427
-0.5, -0.16246, -0.850651
-0.5, -0.16246, -0.850651
-0.5, -0.16246, -0.850651
-0.5, -0.16246, -0.850651
-0.5, -0.16246, -0.850651
-0.5, -0.16246, -0.850651
-0.792649, -0.119117, -0.597928
-0.792649, -0.119117, -0.597928
-0.792649, -0.119117, -0.597928
-0.792649, -0.119117, -0.597928
-0.792649, -0.119117, -0.597928
-0.792649, -0.119117, -0.597928
-0.513376, -0.846658, -0.140057
-0.513376, -0.846658, -0.140057
-0.513376, -0.846658, -0.140057
-0.513376, -0.846658, -0.140057
-0.513376, -0.846658, -0.140057
-0.513376, -0.846658, -0.140057
-0.70231, -0.088568, -0.70634
-0.70231, -0.088568, -0.70634
-0.70231, -0.088568, -0.70634
-0.70231, -0.088568, -0.70634
-0.70231, -0.088568, -0.70634
-0.70231, -0.088568, -0.70634
-0.213023, -0.902656, -0.373943
-0.213023, -0.902656, -0.373943
-0.213023, -0.902656, -0.373943
-0.213023, -0.902656, -0.373943
-0.213023, -0.902656, -0.373943
-0.213023, -0.902656, -0.373943
-0.864929, -0.14308, -0.481067
-0.864929, -0.14308, -0.481067
-0.864929, -0.14308, -0.481067
-0.864929, -0.14308, -0.481067
-0.864929, -0.14308, -0.481067
-0.864929, -0.14308, -0.481067
-0.843912, -0.523491, -0.117349
-0.843912, -0.523491, -0.117349
-0.843912, -0.523491, -0.117349
-0.843912, -0.523491, -0.117349
-0.843912, -0.523491, -0.117349
-0.843912, -0.523491, -0.117349
-0.1312, -0.866811, -0.481067
-0.1312, -0.866811, -0.481067
-0.1312, -0.866811, -0.481067
-0.1312, -0.866811, -0.481067
-0.1312, -0.866811, -0.481067
-0.1312, -0.866811, -0.481067
-0.296005, -0.919948, -0.257056
-0.296005, -0.919948, -0.257056
-0.296005, -0.919948, -0.257056
-0.296005, -0.919948, -0.257056
-0.296005, -0.919948, -0.257056
-0.296005, -0.919948, -0.257056
-0.915043, -0.212056, -0.343115
-0.915043, -0.212056, -0.343115
-0.915043, -0.212056, -0.343115
-0.915043, -0.212056, -0.343115
-0.915043, -0.212056, -0.343115
-0.915043, -0.212056, -0.343115
-0.133071, -0.449299, -0.883415
-0.133071, -0.449299, -0.883415
-0.133071, -0.449299, -0.883415
-0.133071, -0.449299, -0.883415
-0.133071, -0.449299, -0.883415
